,count,mean,std,min,25%,50%,75%,max,skew,kurt
DWRITE.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999998
D2D1.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999998
MSCMS.DLL,29495.0,0.0007458891337514833,0.02730124637831581,0.0,0.0,0.0,0.0,1.0,36.57620313134962,1335.909220971505
XOLEHLP.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.43310874009298,14744.999728742294
NTLANMAN.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.43310874009298,14744.999728742294
MPRAPI.DLL,29495.0,6.780810306831667e-05,0.008234427971689882,0.0,0.0,0.0,0.0,1.0,121.43310874009305,14744.999728742305
DISPEX.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
IASSDO.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
ICM32.DLL,29495.0,0.00010171215460247499,0.010084902451703305,0.0,0.0,0.0,0.0,1.0,99.14467486281816,9828.33299426753
KBDLV1.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
ODBCCU32.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
SFC_OS.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
W32TOPL.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
KBDCAN.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29495.0
KBDHE.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29495.0
KBDYCL.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29495.0
